"","ortho","klatt","neighbors","degree","c"
"1343","avarice","@vXxs","@mXxs",1,NA
"1344","avaricious","@vXIS|s","",0,NA
"1345","avast","xv@st","xg@st;v@st",2,0
"1346","avatar","@vxtar","",0,NA
"1347","avaunt","xvcnt","xvEnt;vcnt",2,0
"1348","ave","ave","",0,NA
"1349","avenge","xvEnJ","xvEnt",1,NA
"1350","avenue","@vxnu","",0,NA
"1351","aver","xvR","xvRs;xvRt;xvW;xkR;xv",5,0.2
"1352","average","@vrIJ","",0,NA
"1353","averment","xvRmxnt","",0,NA
"1354","averse","xvRs","xmRs;xvR;xvRt;vRs",4,0.166666666666667
"1355","aversion","xvRZ|n","vRZ|n",1,NA
"1356","avert","xvRt","xlRt;xsRt;xvR;xvRs;ovRt",5,0.2
"1357","avian","evixn","elixn",1,NA
"1358","aviary","eviEri","epiEri",1,NA
"1359","aviation","evieS|n","",0,NA
"1360","aviator","evietX","",0,NA
"1361","aviatrix","evietrIks","",0,NA
"1362","avid","@vxd","@rxd",1,NA
"1363","avidity","xvId|ti","xsId|ti",1,NA
"1364","avidly","@vxdli","",0,NA
"1365","avionics","evianIks","",0,NA
"1366","avitaminosis","evYtxmxnos|s","",0,NA
"1367","avocado","@vxkado","",0,NA
"1368","avocation","@vxkeS|n","@lxkeS|n",1,NA
"1369","avoid","xvOd","dxvOd;ovOd;vOd",3,0.333333333333333
"1370","avoirdupois","@vXdxpOz","",0,NA
"1371","avouch","xvWC","xvW;vWC",2,0
"1372","avow","xvW","xlW;xvR;xvWC;xv;vW",5,0.1
"1373","avuncular","xv^GkyUlX","",0,NA
"1374","await","xwet","xbet;xwek;xwe;xlet;kwet;wet",6,0.2
"1375","awake","xwek","xwet;xwe;kwek;wek",4,0.333333333333333
"1376","awaken","xwek|n","wek|n",1,NA
"1377","award","xword","xbord;xkord;xford;sword;word",5,0.4
"1378","aware","xwEr","xfEr;swEr;wEr;hwEr",4,0.5
"1379","awash","xwcS","wcS",1,NA
"1380","awe","c","cl;ct;ck;cn;Y;kc;i;nc;hc;Jc;lc;mc;o;cf;pc;rc;sc;tc;Tc",19,0.39766081871345
"1381","aweary","xwIri","kwIri;wIri",2,1
"1382","aweigh","xwe","xle;xre;xwet;xwek;swe;we",6,0.2
"1383","awesome","csxm","",0,NA
"1384","awestricken","cstrIkxn","",0,NA
"1385","awful","cfL","crL;cf;cfX;cft",4,0.5
"1386","awhile","xhwYl","xhwRl;hwYl",2,0
"1387","awhirl","xhwRl","xhwYl;hwRl",2,0
"1388","awkward","ckwXd","",0,NA
"1389","awn","cn","cl;@n;ct;ck;c;dcn;Rn;fcn;gcn;In;lcn;En;cf;on;pcn;ycn",16,0.291666666666667
"1390","awning","cnIG","InIG;cfIG",2,0
"1391","AWOL","ewcl","wcl",1,NA
"1392","awry","xrY","xrYt;xrYz;xre;krY;drY;frY;prY;rY;trY",9,0.444444444444444
"1393","axe","@ks","@kt;@ps;@s;@ksL;l@ks;aks;t@ks;w@ks;Eks",9,0.138888888888889
"1394","axial","@ksiL","@ksid;@ksL",2,0
"1395","axiom","@ksixm","",0,NA
"1396","axiomatic","@ksixm@tIk","",0,NA
"1397","axis","@ks|s","@ksEs",1,NA
"1398","axle","@ksL","@ks;@ksiL",2,0
"1399","ay","Y","Yl;c;Yx;bY;dY;i;fY;gY;hY;Ys;Yr;lY;mY;nY;o;pY;rY;SY;sY;tY;TY;DY;vY;wY",24,0.52536231884058
"1400","ayah","Yx","Yl;Y;Ys;Yr;Dx;vYx",6,0.4
"1401","azalea","xzelyx","",0,NA
"1402","azimuth","@zxmxT","",0,NA
"1403","Aztec","@ztEk","",0,NA
"1404","azure","@ZX","@dX;@tX;oZX",3,0.333333333333333
"1405","b","bi","@bi;be;biC;bid;bik;bim;bin;bit;bo;bif;bu;bW;bO;bui;bR;bY;si;ki;di;i;fi;Ji;hi;ni;li;mi;obi;pi;Si;ti;Di;vi;wi;yi;zi",35,0.33109243697479
"1406","babble","b@bL","bebL;b@fL;b@rL;b@zL;b@tL;bcbL;bYbL;babL;b^bL;d@bL;g@bL;r@bL",12,0.287878787878788
"1407","babe","beb","bebL;bebi;bel;bet;bez;bek;ben;bes;beD;be;beZ;bIb;bab",13,0.487179487179487
"1408","Babel","bebL","ebL;b@bL;beb;bebi;begL;besL;bcbL;bYbL;babL;b^bL;kebL;febL;gebL;lebL;sebL;tebL",16,0.275
"1409","baboon","b@bun","",0,NA
"1410","babushka","bxbUSkx","",0,NA
"1411","baby","bebi","beb;bebL;babi;bubi;mebi",5,0.2
"1412","baccalaureate","b@kxlcrixt","",0,NA
"1413","bacchanalia","b@kxnelix","",0,NA
"1414","bachelor","b@ClX","",0,NA
"1415","bacillary","b@sxlEri","",0,NA
"1416","bacillus","bxsIlxs","",0,NA
"1417","back","b@k","xb@k;b@d;b@J;b@g;bek;bck;b@n;b@G;b@Gk;b@S;b@sk;b@s;b@t;b@C;b@T;bik;bEk;bYk;bl@k;bak;bUk;b^k;h@k;J@k;n@k;l@k;p@k;r@k;s@k;S@k;t@k;y@k",32,0.245967741935484
"1418","backfield","b@kfild","",0,NA
"1419","backgammon","b@kg@mxn","",0,NA
"1420","backrest","b@krEst","",0,NA
"1421","backside","b@ksYd","",0,NA
"1422","backspin","b@kspIn","",0,NA
"1423","backwash","b@kwcS","",0,NA
"1424","bacon","bek|n","bik|n;bEk|n;Sek|n;tek|n;wek|n",5,0.4
"1425","bacteriology","b@ktIrialxJi","",0,NA
"1426","bacterium","b@ktIrixm","",0,NA
"1427","bad","b@d","@d;b@k;b@J;b@g;b@n;b@nd;b@G;b@S;b@s;b@t;b@C;b@T;bid;bEd;bId;bYd;bRd;bod;br@d;b^d;k@d;d@d;f@d;g@d;h@d;l@d;m@d;p@d;s@d;S@d",30,0.280459770114943
"1428","badge","b@J","b@k;b@d;b@JX;b@g;b@n;b@G;b@S;b@s;b@t;b@C;b@T;b^J;k@J",13,0.576923076923077
"1429","badger","b@JX","b@J;b@nX;b@tX",3,0.333333333333333
"1430","badinage","b@dNaZ","",0,NA
"1431","badminton","b@dmIntN","",0,NA
"1432","baffle","b@fL","b@bL;b@rL;b@SfL;b@zL;b@tL;r@fL",6,0.4
"1433","bag","b@g","b@k;b@d;b@J;b@gi;b@n;b@G;b@S;b@s;b@t;b@C;b@T;bEg;bRg;bIg;bcg;br@g;b^g;f@g;g@g;h@g;J@g;l@g;n@g;r@g;s@g;S@g;t@g;w@g",28,0.293650793650794
"1434","bagasse","bxg@s","",0,NA
"1435","bagatelle","b@gxtEl","",0,NA
"1436","bagel","begL","bebL;besL;bigL",3,0.333333333333333
"1437","baggage","b@gIJ","",0,NA
"1438","baggy","b@gi","b@g;bUgi;b^gi",3,0.333333333333333
"1439","bagnio","b@nyo","b@nJo",1,NA
"1440","bagpipe","b@gpYp","",0,NA
"1441","baht","bat","bet;bam;bar;b@t;bit;bEt;bYt;bIt;blat;bot;bab;bak;but;baS;baC;batL;batM;bct;bWt;b^t;kat;dat;gat;hat;Jat;nat;lat;pat;rat;Sat;sat;tat;wat;yat",34,0.290552584670232
"1442","bail","bel","el;beb;bet;bez;bek;bcl;ben;bes;beD;be;beZ;bEl;bYl;bIl;bOl;bol;brel;bUl;del;fel;gel;Jel;hel;kel;mel;nel;pel;rel;sel;Sel;tel;vel;wel",33,0.337121212121212
"1443","bailiff","belxf","kelxf",1,NA
"1444","bailiwick","belIwIk","",0,NA
"1445","bailsman","belzmxn","telzmxn",1,NA
"1446","bairn","bErn","bEr;barn;bEri;bErL;born;kErn",6,0.266666666666667
"1447","bait","bet","xbet;et;beb;bat;bel;bez;bek;ben;bes;best;b@t;beD;be;bit;beZ;bEt;bYt;bIt;bot;but;bct;bWt;b^t;det;fet;get;het;let;met;pet;ret;set;wet",33,0.278409090909091
"1448","baize","bez","beb;bel;bet;bek;ben;bes;beD;be;boz;beZ;blez;buz;brez;b^z;Sez;dez;fez;gez;hez;lez;mez;rez",22,0.303030303030303
"1449","bake","bek","ek;beb;b@k;bel;bet;bez;bck;ben;bes;beD;be;bik;bEk;beZ;bYk;bak;bUk;brek;b^k;kek;fek;hek;lek;mek;rek;sek;Sek;tek;wek",29,0.295566502463054
"1450","bakery","bekXi","",0,NA
"1451","baksheesh","b@kSiS","",0,NA
"1452","balance","b@l|ns","",0,NA
"1453","balboa","b@lbox","",0,NA
"1454","balbriggan","b@lbrIgxn","",0,NA
"1455","balcony","b@lk|ni","",0,NA
"1456","bald","bcld","cld;bcl;bold;bIld",4,0.166666666666667
"1457","baldachin","bcldxkxn","",0,NA
"1458","baldachino","b@ldxkino","",0,NA
"1459","balderdash","bcldXd@S","",0,NA
"1460","baldric","bcldrIk","",0,NA
"1461","baleen","bxlin","bxlun;bxlif;bxliv",3,0.333333333333333
"1462","baleful","belfL","",0,NA
"1463","balk","bck","ck;b@k;bek;bcl;bik;bEk;bYk;bak;bcg;bUk;bcs;bct;b^k;kck;Cck;gck;hck;tck;wck",19,0.321637426900585
"1464","ball","bcl","cl;bel;bcld;bck;bEl;bYl;bIl;bcg;bOl;bol;bcs;bct;brcl;bUl;kcl;fcl;gcl;hcl;mcl;pcl;Scl;tcl;wcl;ycl",24,0.297101449275362
"1465","ballad","b@lxd","p@lxd;s@lxd;v@lxd",3,1
"1466","ballast","b@l|st","b@l|t",1,NA
"1467","ballcarrier","bclk@riX","",0,NA
"1468","ballerina","b@lXinx","",0,NA
"1469","ballet","b@le","S@le",1,NA
"1470","ballistic","bxlIstIk","",0,NA
"1471","balloon","bxlun","bxlin;sxlun",2,0
"1472","ballot","b@l|t","b@l|st;bIl|t;bUl|t;m@l|t;p@l|t;v@l|t",6,0.266666666666667
"1473","ballroom","bclrum","",0,NA
"1474","ballyhoo","b@lihu","",0,NA
"1475","balm","bam","bat;bar;bim;bab;bak;bamX;bum;baS;baC;b^m;kam;pam;sam",13,0.269230769230769
"1476","balsa","bclsx","bclsxm",1,NA
"1477","balsam","bclsxm","bclsx",1,NA
"1478","baluster","b@lxstX","",0,NA
"1479","bamboo","b@mbu","",0,NA
"1480","bamboozle","b@mbuzL","",0,NA
"1481","ban","b@n","@n;b@k;b@d;b@J;b@g;b@nd;ben;b@G;b@nX;b@nz;b@S;b@s;b@t;b@C;b@T;bin;bIn;bon;bun;br@n;b^n;bRn;k@n;f@n;m@n;p@n;r@n;t@n;D@n;v@n",30,0.245977011494253
"1482","banal","b|n@l","",0,NA
"1483","banality","b|n@l|ti","",0,NA
"1484","banana","b|n@nx","b|n@nzx",1,NA
"1485","band","b@nd","@nd;b@d;b@n;b@ndi;b@nX;b@nz;bEnd;bYnd;bl@nd;band;bWnd;br@nd;bRnd;k@nd;h@nd;l@nd;m@nd;r@nd;s@nd",19,0.222222222222222
"1486","bandage","b@ndIJ","bandIJ",1,NA
"1487","bandana","b@nd@nx","",0,NA
"1488","bandbox","b@ndbaks","",0,NA
"1489","banderol","b@ndxrol","",0,NA
"1490","bandit","b@nd|t","",0,NA
"1491","banditry","b@nd|tri","",0,NA
"1492","banditti","b@ndIti","",0,NA
"1493","bandoleer","b@ndxlIr","S@ndxlIr",1,NA
"1494","bandstand","b@ndst@nd","",0,NA
"1495","bandwagon","b@ndw@g|n","",0,NA
"1496","bandy","b@ndi","b@nd;b@nSi;br@ndi;k@ndi;d@ndi;h@ndi",6,0.2
"1497","bane","ben","beb;bel;bet;bez;bek;b@n;bes;beD;be;bin;bIn;beZ;blen;bon;bun;bren;b^n;bRn;ken;Cen;den;fen;gen;len;men;pen;ren;sen;Ten;Rben;ven;wen",32,0.278225806451613
"1498","bang","b@G","b@k;b@d;b@J;b@g;b@n;b@Gk;b@S;b@s;b@t;b@C;b@T;b^G;f@G;g@G;h@G;p@G;r@G;s@G;t@G",19,0.391812865497076
"1499","bangle","b@GgL","@GgL;bEGgL;d@GgL;J@GgL;m@GgL;t@GgL;w@GgL;r@GgL",8,0.75
"1500","bani","bani","bini;babi;baCi;badi;band;Jani;rani",7,0.19047619047619
"1501","banish","b@nIS","bRnIS;m@nIS;v@nIS",3,0.333333333333333
"1502","banister","b@n|stX","b@r|stX;k@n|stX",2,0
"1503","banjo","b@nJo","b@nyo",1,NA
"1504","bank","b@Gk","@Gk;b@k;b@G;b@sk;bl@Gk;b^Gk;d@Gk;h@Gk;l@Gk;r@Gk;s@Gk;S@Gk;t@Gk;T@Gk;y@Gk",15,0.457142857142857
"1505","bankroll","b@Gkrol","",0,NA
"1506","bankrupt","b@Gkr^pt","",0,NA
"1507","banner","b@nX","b@JX;b@n;b@nd;b@nz;b@ntX;b@tX;bonX;k@nX;m@nX;t@nX",10,0.177777777777778
"1508","bannock","b@nxk","",0,NA
"1509","banns","b@nz","b@n;b@nd;b@nX;b@Dz;s@nz",5,0.3
"1510","banquet","b@Gkwxt","",0,NA
"1511","banquette","b@GkEt","",0,NA
"1512","banshee","b@nSi","b@ndi",1,NA
"1513","bantam","b@ntxm","f@ntxm",1,NA
"1514","banter","b@ntX","b@nX;b@ntu;b@tX;k@ntX",4,0.166666666666667
"1515","bantling","b@ntlIG","",0,NA
"1516","Bantu","b@ntu","b@ntX",1,NA
"1517","banyan","b@nyxn","b^nyxn;k@nyxn",2,0
"1518","baobab","bWb@b","",0,NA
"1519","baptism","b@ptIzM","",0,NA
"1520","baptismal","b@ptIzmL","",0,NA
"1521","baptist","b@pt|st","",0,NA
"1522","baptize","b@ptYz","",0,NA
"1523","bar","bar","ar;bat;bam;barb;bard;bEr;barJ;bark;barn;bIr;bor;bab;bak;baro;baS;baC;kar;Car;zar;far;Jar;mar;par;tar",24,0.257246376811594
"1524","barb","barb","bar;barbd;barbX;bard;barJ;bark;barn;bab;baro;garb",10,0.4
"1525","barbarian","barbErixn","",0,NA
"1526","barbaric","barb@rIk","",0,NA
"1527","barbarism","barbxrIzM","",0,NA
"1528","barbarity","barb@rxti","",0,NA
"1529","barbarous","barbxrxs","",0,NA
"1530","barbecue","barbIkyu","",0,NA
"1531","barbed","barbd","barb;barbX;bard",3,0.666666666666667
"1532","barbell","barbEl","",0,NA
"1533","barber","barbX","arbX;barb;barbd;barkX;bartX;harbX",6,0.2
"1534","barberry","barbEri","",0,NA
"1535","barbican","barbIkxn","",0,NA
"1536","barbiturate","barbICX|t","",0,NA
"1537","barcarolle","barkxrol","",0,NA
"1538","bard","bard","bar;barb;barbd;barJ;bark;barn;bIrd;bord;band;baro;kard;Card;gard;hard;lard;nard;pard;Sard;yard",19,0.309941520467836
"1539","bare","bEr","Er;bErn;bar;bEk;bEd;bIr;bEg;bEl;bEri;bErL;bEt;blEr;bor;kEr;CEr;dEr;fEr;hEr;lEr;mEr;pEr;rEr;SEr;tEr;DEr;wEr",26,0.332307692307692
"1540","bargain","barg|n","Jarg|n",1,NA
"1541","barge","barJ","bar;barb;bard;bark;barn;baro;CarJ;larJ;marJ",9,0.5
"1542","baritone","b@rxton","",0,NA
"1543","barium","b@rixm","",0,NA
"1544","bark","bark","ark;bar;barb;bard;barJ;barkX;barn;bak;baro;dark;hark;lark;mark;park;Sark",15,0.352380952380952
"1545","barkeeper","barkipX","",0,NA
"1546","barker","barkX","barbX;bark;bartX",3,0.333333333333333
"1547","barley","barli","parli",1,NA
"1548","barn","barn","bErn;bar;barb;bard;barJ;bark;born;baro;darn;tarn;yarn",11,0.345454545454545
"1549","barnacle","barnIkL","",0,NA
"1550","barnstorm","barnstorm","",0,NA
"1551","barometer","bXamxtX","",0,NA
"1552","barometric","b@rxmEtrIk","",0,NA
"1553","baron","b@rxn","b@rxni",1,NA
"1554","baroness","b@rxn|s","",0,NA
"1555","baronial","bxroniL","",0,NA
"1556","barony","b@rxni","b@rxn",1,NA
"1557","baroque","bXok","brok",1,NA
"1558","barouche","bxruS","fxruS",1,NA
"1559","barracks","bErxks","",0,NA
"1560","barracuda","b@rxkudx","",0,NA
"1561","barrage","bXaJ","",0,NA
"1562","barratry","b@rxtri","",0,NA
"1563","barrel","b@rL","b@bL;b@fL;b@ro;b@zL;b@tL;bErL;k@rL",7,0.285714285714286
"1564","barrette","barEt","",0,NA
"1565","barricade","b@rxked","",0,NA
"1566","barrier","b@riX","k@riX;f@riX;h@riX",3,1
"1567","barrister","b@r|stX","b@n|stX",1,NA
"1568","barroom","barrum","",0,NA
"1569","barrow","b@ro","@ro;b@rL;b@so;b@to;baro;f@ro;h@ro;m@ro;n@ro;y@ro",10,0.355555555555556
"1570","bartender","bartEndX","",0,NA
"1571","barter","bartX","barbX;barkX;CartX;gartX;martX;tartX",6,0.466666666666667
"1572","basal","besL","bebL;begL;bes;besN;best;b^sL",6,0.266666666666667
"1573","basalt","bxsclt","xsclt",1,NA
"1574","basaltic","bxscltIk","",0,NA
"1575","base","bes","xbes;es;beb;bel;bet;bez;bek;ben;besL;besN;b@s;best;beD;be;beZ;bcs;bres;b^s;kes;Ces;des;fes;les;mes;pes;res;ves",27,0.253561253561254
"1576","baseball","besbcl","",0,NA
"1577","bash","b@S","xb@S;@S;b@k;b@d;b@J;b@g;b@n;b@G;b@s;b@t;b@C;b@T;baS;br@S;bUS;k@S;d@S;g@S;n@S;h@S;l@S;m@S;r@S;s@S",24,0.333333333333333
"1578","bashful","b@SfL","b@fL",1,NA
"1579","basic","besIk","",0,NA
"1580","basil","b@zL","b@bL;b@fL;b@rL;b@tL;bEzL;d@zL",6,0.4
"1581","basilica","bxsIlIkx","",0,NA
"1582","basilisk","b@sxlIsk","",0,NA
"1583","basin","besN","besL;bes;best;bYsN;bosN;CesN;hesN;mesN",8,0.25
"1584","basis","bes|s","oes|s",1,NA
"1585","bask","b@sk","@sk;b@k;b@Gk;b@s;b@so;b@st;bIsk;k@sk;m@sk;t@sk",10,0.244444444444444
"1586","basket","b@sk|t","bIsk|t;k@sk|t;g@sk|t",3,0.333333333333333
"1587","bass","b@s","@s;b@k;b@d;b@J;b@g;b@n;b@G;bes;b@S;b@sk;b@so;b@st;b@t;b@C;b@T;bcs;br@s;b^s;g@s;l@s;m@s;p@s;r@s",23,0.272727272727273
"1588","bassinet","b@sNEt","",0,NA
"1589","basso","b@so","b@ro;b@sk;b@s;b@st;b@to;l@so",6,0.266666666666667
"1590","bassoon","bxsUn","",0,NA
"1591","basswood","b@swUd","",0,NA
"1592","bast","b@st","b@sk;b@s;b@so;best;b@t;bist;bEst;bl@st;bost;bust;bRst;b^st;k@st;f@st;l@st;m@st;p@st;v@st",18,0.26797385620915
"1593","bastard","b@stXd","d@stXd",1,NA
"1594","baste","best","bet;besL;bes;besN;b@st;bist;bEst;bost;bust;bRst;b^st;Cest;hest;pest;test;west",16,0.291666666666667
"1595","bastinado","b@stxnedo","",0,NA
"1596","bastion","b@sC|n","",0,NA
"1597","bat","b@t","@t;b@k;b@d;b@J;b@g;bat;bet;b@n;b@G;b@S;b@s;b@st;b@C;b@T;b@to;b@tN;b@tX;b@tL;bit;bEt;bYt;bIt;bot;but;bct;bWt;br@t;b^t;k@t;C@t;f@t;n@t;h@t;m@t;p@t;r@t;s@t;t@t;D@t;v@t",40,0.238461538461538
"1598","batch","b@C","b@k;b@d;b@J;b@g;b@n;b@G;b@S;b@s;b@t;b@T;biC;bRC;bIC;baC;k@C;h@C;l@C;m@C;p@C;T@C",20,0.347368421052632
"1599","bath","b@T","b@k;b@d;b@J;b@g;b@n;b@G;b@S;b@s;b@t;b@C;bRT;buT;boT;l@T;m@T;p@T;r@T",17,0.397058823529412
"1600","bathe","beD","beb;bel;bet;bez;bek;ben;bes;be;beZ;leD",10,0.8
"1601","bathetic","bxTEtIk","pxTEtIk",1,NA
"1602","bathhouse","b@ThWs","",0,NA
"1603","bathos","beTas","peTas",1,NA
"1604","baths","b@Dz","b@nz;buDz",2,0
"1605","batiste","bxtist","",0,NA
"1606","batman","b@tmxn","b@tsmxn;botmxn",2,0
"1607","baton","bxtan","",0,NA
"1608","batrachian","bxtrekixn","",0,NA
"1609","batsman","b@tsmxn","b@tmxn",1,NA
"1610","battalion","bxt@lyxn","",0,NA
"1611","batteau","b@to","b@ro;b@so;b@t;b@tN;b@tX;b@tL;S@to",7,0.333333333333333
"1612","batten","b@tN","b@t;b@to;b@tX;b@tL;bitN;bItN;b^tN;f@tN;l@tN;p@tN;s@tN",11,0.272727272727273
"1613","batter","b@tX","@tX;b@JX;b@nX;b@ntX;b@t;b@to;b@tN;b@tXi;b@tL;bEtX;bItX;b^tX;C@tX;h@tX;l@tX;m@tX;p@tX;S@tX;t@tX",19,0.228070175438596
"1614","battery","b@tXi","b@tX",1,NA
"1615","batting","b@tIG","b@rIG;bYtIG;m@tIG;t@tIG",4,0.166666666666667
"1616","battle","b@tL","b@bL;b@fL;b@rL;b@zL;b@t;b@to;b@tN;b@tX;bitL;batL;k@tL;C@tL;r@tL;t@tL",14,0.208791208791209
"1617","bauble","bcbL","b@bL;bebL;bYbL;babL;b^bL",5,1
"1618","bauxite","bcksYt","",0,NA
"1619","bawdy","bcdi","bRdi;badi;b^di",3,1
"1620","bay","be","@be;bi;beb;bel;bet;bez;bek;ben;bes;beD;bo;beZ;bXe;bu;bW;bO;bre;bR;bY;de;fe;ge;he;Je;ke;le;me;ne;obe;pe;re;se;De;we;ye",35,0.277310924369748
"1621","bayberry","bebEri","",0,NA
"1622","bayonet","bexnEt","",0,NA
"1623","bayou","bYu","bYd;bYt;bYk;bYl;blu;bu;bru;bY",8,0.5
"1624","bazaar","bxzar","",0,NA
"1625","bazooka","bxzukx","",0,NA
"1626","beach","biC","bi;b@C;bid;bik;bim;bin;bit;bif;bRC;bIC;bliC;baC;briC;iC;liC;piC;riC;tiC",18,0.261437908496732
"1627","beachhead","biChEd","",0,NA
"1628","beacon","bik|n","bek|n;bEk|n;biC|n;dik|n",4,0.166666666666667
"1629","bead","bid","bi;b@d;biC;bidL;bik;bim;bin;bit;bEd;bidu;bif;bId;bYd;bRd;blid;bod;brid;b^d;sid;did;fid;hid;nid;mid;rid;wid",26,0.224615384615385
"1630","beadle","bidL","bid;bigL;bidu;bitL;budL;nidL",6,0.133333333333333
"1631","beagle","bigL","begL;bidL;bitL;igL;ligL;rigL",6,0.266666666666667
"1632","beak","bik","bi;b@k;bek;bck;biC;bid;bikt;bikX;bim;bin;bit;bEk;bif;bYk;blik;bak;bUk;b^k;Cik;Sik;ik;lik;mik;pik;rik;sik;tik;wik",28,0.256613756613757
"1633","beaked","bikt","bik;bikX;bist;bit;pikt",5,0.3
"1634","beaker","bikX","bik;bikt;bivX;bIkX",4,0.166666666666667
"1635","beam","bim","xbim;bi;bam;biC;bid;bik;bin;bit;bif;bum;b^m;dim;rim;sim;tim;Tim",16,0.283333333333333
"1636","bean","bin","bi;b@n;ben;biC;bid;bik;bim;bini;bit;bif;bIn;bon;bun;b^n;bRn;din;Jin;kin;lin;min;pin;sin;Sin;win;yin",25,0.29
"1637","beanie","bini","bani;bin;bani;Jini;tini;wini",6,0.2
"1638","beard","bIrd","bard;bIr;bId;bord;bIld;wIrd",6,0.2
"1639","bearing","b@rIG","b@tIG;brIG;d@rIG;p@rIG",4,0.166666666666667
"1640","bearskin","bErskIn","",0,NA
"1641","beast","bist","b@st;best;bikt;bit;bEst;bost;bust;bRst;b^st;ist;fist;list;yist",13,0.358974358974359
"1642","beat","bit","bi;bat;bet;b@t;biC;bid;bik;bikt;bim;bin;bist;bitN;bif;bitL;bEt;bYt;bIt;blit;bot;but;bct;bWt;b^t;Cit;it;fit;hit;lit;mit;nit;pit;sit;Sit",33,0.236742424242424
"1643","beaten","bitN","b@tN;bit;bitL;bItN;b^tN;itN",6,0.266666666666667
"1644","beatific","bixtIfIk","",0,NA
"1645","beatify","bi@txfY","",0,NA
"1646","beatnik","bitnIk","",0,NA
"1647","beau","bo","bi;be;boz;blo;box;bor;bot;bod;bol;bon;bu;bRo;boT;bW;bO;bR;bY;do;fo;go;ho;no;lo;mo;o;obo;ro;so;So;Do;to;wo",32,0.288306451612903
"1648","beaujolais","boZxle","",0,NA
"1649","beauteous","byutixs","",0,NA
"1650","beautician","byutIS|n","",0,NA
"1651","beautiful","byutIfL","",0,NA
"1652","beautify","byut|fY","",0,NA
"1653","beauty","byuti","buti;buti;byut",3,0
"1654","beaux","boz","bez;bo;box;bor;bot;bod;bol;bon;buz;boT;b^z;Coz;doz;hoz;noz;poz;roz;Doz",18,0.339869281045752
"1655","beaver","bivX","bikX;bivz;fivX",3,0
"1656","becalm","bIkam","",0,NA
"1657","because","bxkcz","",0,NA
"1658","beck","bEk","b@k;bek;bck;bEr;bik;bEd;bEg;bEl;bEt;bYk;bak;bUk;b^k;CEk;dEk;lEk;nEk;pEk;rEk",19,0.309941520467836
"1659","beckon","bEk|n","bek|n;bik|n;rEk|n",3,0.333333333333333
"1660","becloud","bIklWd","",0,NA
"1661","become","bxk^m","sxk^m",1,NA
"1662","becoming","bIk^mIG","",0,NA
"1663","bed","bEd","xbEd;b@d;bEr;bid;bEk;bEg;bEl;bEnd;bEt;bId;bYd;bRd;blEd;bod;brEd;b^d;dEd;fEd;hEd;lEd;rEd;sEd;SEd;wEd;zEd",25,0.233333333333333
"1664","bedaub","bidcb","",0,NA
"1665","bedeck","bIdEk","",0,NA
"1666","bedevil","bIdEvL","",0,NA
"1667","bedew","bidu","bid;bidL",2,1
"1668","bedfellow","bEdfElo","",0,NA
"1669","bedizen","bidYzN","",0,NA
"1670","bedlam","bEdlxm","",0,NA
"1671","bedouin","bEduxn","",0,NA
"1672","bedraggled","bIdr@gLd","",0,NA
"1673","bedridden","bEdrIdN","",0,NA
"1674","beechen","biC|n","bik|n",1,NA
"1675","beef","bif","bi;biC;bid;bik;bim;bin;bit;brif;b^f;Cif;fif;lif;rif;Sif;Tif",15,0.352380952380952
"1676","beehive","bihYv","",0,NA
"1677","been","bIn","b@n;ben;bin;bIr;bIb;bId;bIg;bIl;bInJ;bIt;bIC;bon;bun;b^n;bRn;CIn;dIn;fIn;JIn;In;kIn;pIn;SIn;sIn;TIn;tIn;wIn",27,0.307692307692308
"1678","beer","bIr","bar;bEr;bIrd;bIn;bIb;bId;bIg;bIl;bIt;bIC;blIr;bor;CIr;dIr;Ir;fIr;gIr;hIr;JIr;lIr;mIr;nIr;pIr;rIr;sIr;SIr;tIr;vIr;yIr",29,0.399014778325123
"1679","beeswax","bizw@ks","",0,NA
"1680","beetle","bitL","b@tL;bidL;bigL;bit;bitN;batL",6,0.2
"1681","beeves","bivz","bivX;ivz;livz;Sivz;Tivz",5,0.6
"1682","befall","bxfcl","bxfcg;bxfWl",2,0
"1683","befit","bxfIt","",0,NA
"1684","befog","bxfcg","bxfcl",1,NA
"1685","before","bxfor","",0,NA
"1686","befoul","bxfWl","xfWl;bxfcl",2,0
"1687","befriend","bxfrEnd","",0,NA
"1688","befuddle","bxf^dL","",0,NA
"1689","beg","bEg","b@g;bEr;bEk;bEd;bEgX;bEl;bRg;bEt;bIg;bcg;b^g;kEg;lEg;pEg",14,0.252747252747253
"1690","beget","bxgEt","",0,NA
"1691","beggar","bEgX","bEg;bEtX;bRgX",3,0
"1692","begin","bxgIn","bxgcn",1,NA
"1693","begone","bxgcn","bxgIn;bYgcn",2,0
"1694","begonia","bIgonix","",0,NA
"1695","begrime","bigrYm","",0,NA
"1696","begum","bigxm","",0,NA
"1697","behalf","bIh@f","",0,NA
"1698","behave","bIhev","",0,NA
"1699","behavior","bIhevyX","",0,NA
"1700","behead","bIhEd","bIlhEd",1,NA
"1701","behemoth","bIhimxT","",0,NA
"1702","behest","bIhEst","",0,NA
"1703","behold","bIhold","",0,NA
"1704","beige","beZ","beb;bel;bet;bez;bek;ben;bes;beD;be",9,1
"1705","being","biIG","brIG",1,NA
"1706","belabor","bxlebX","",0,NA
"1707","belch","bElC","bEl;bElo;bEli;bElt;bEnC;wElC",6,0.4
